 Morbidade Hospitalar do SUS - por local de residência - Rio Grande do Norte
Internações por Ano atendimento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Ago/2022
"Ano atendimento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"2007";6;23;24;16;16;13;9;11;10;9;8;7;5;5;1;1;4;3;171
"2008";143;437;1002;421;284;229;221;201;181;164;129;144;106;91;82;55;56;64;4010
"2009";8;21;36;57;60;64;55;45;43;26;31;27;31;15;16;13;13;14;575
"2010";18;76;201;158;127;118;130;89;85;91;62;52;41;21;28;25;14;9;1345
"2011";78;178;431;339;266;249;198;191;165;151;152;120;115;101;53;66;40;50;2943
"2012";23;56;105;184;165;133;138;139;128;103;106;89;75;59;42;42;27;44;1658
"2013";21;53;86;169;139;158;149;127;105;110;109;70;86;55;48;40;30;40;1595
"2014";15;71;88;110;119;64;108;89;74;82;66;54;60;55;43;39;20;19;1176
"2015";17;28;25;37;51;48;43;39;32;28;29;42;24;27;18;16;16;25;545
"2016";52;94;128;183;132;105;114;122;107;108;120;160;124;125;131;118;134;198;2255
"2017";4;19;29;20;6;10;2;12;11;10;8;6;9;13;2;8;6;10;185
"2018";61;104;219;171;81;52;36;40;36;24;20;20;21;17;11;9;5;15;942
"2019";30;47;102;124;40;40;37;34;33;26;18;32;20;27;16;9;12;24;671
"2020";12;11;22;9;6;9;7;6;1;4;4;7;3;1;4;4;2;4;116
"2021";4;11;14;11;6;3;1;2;2;1;3;2;1;2;-;-;2;4;69
"2022";20;27;93;112;45;47;36;16;24;16;16;16;24;12;8;10;9;13;544
"Total";512;1256;2605;2121;1543;1342;1284;1163;1037;953;881;848;745;626;503;455;390;536;18800
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
