year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2008,143,437,1002,421,284,229,221,201,181,164,129,144,106,91,82,55,56,64
2009,8,21,36,57,60,64,55,45,43,26,31,27,31,15,16,13,13,14
2010,18,76,201,158,127,118,130,89,85,91,62,52,41,21,28,25,14,9
2011,78,178,431,339,266,249,198,191,165,151,152,120,115,101,53,66,40,50
2012,23,56,105,184,165,133,138,139,128,103,106,89,75,59,42,42,27,44
2013,21,53,86,169,139,158,149,127,105,110,109,70,86,55,48,40,30,40
2014,15,71,88,110,119,64,108,89,74,82,66,54,60,55,43,39,20,19
2015,17,28,25,37,51,48,43,39,32,28,29,42,24,27,18,16,16,25
2016,52,94,128,183,132,105,114,122,107,108,120,160,124,125,131,118,134,198
2017,4,19,29,20,6,10,2,12,11,10,8,6,9,13,2,8,6,10
2018,61,104,219,171,81,52,36,40,36,24,20,20,21,17,11,9,5,15
2019,30,47,102,124,40,40,37,34,33,26,18,32,20,27,16,9,12,24
2020,12,11,22,9,6,9,7,6,1,4,4,7,3,1,4,4,2,4
