 Morbidade Hospitalar do SUS - por local de residência - Rio Grande do Norte
Internações por Ano processamento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:1995-2007
"Ano processamento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"1998";1;6;9;24;38;56;56;57;47;41;33;43;44;26;29;25;11;12;558
"1999";1;7;10;25;46;56;39;66;49;41;47;33;39;32;19;27;22;10;569
"2000";1;2;10;27;58;54;56;63;54;46;39;35;33;34;21;13;9;17;572
"2001";5;22;44;115;272;286;282;277;260;213;188;157;132;127;102;92;63;59;2696
"2002";8;44;83;210;365;382;354;374;330;267;248;231;199;173;142;117;107;114;3748
"2003";7;53;121;215;354;334;330;282;276;210;194;181;151;126;111;77;76;79;3177
"2004";7;28;40;62;109;89;95;81;83;53;47;49;43;44;31;25;33;19;938
"2005";4;17;39;67;122;118;107;76;92;79;65;61;50;43;30;26;22;28;1046
"2006";2;21;52;51;89;79;68;66;70;50;50;39;34;28;21;11;18;18;767
"2007";27;96;174;126;107;111;97;93;59;80;53;46;41;25;15;18;20;23;1211
"Total";63;296;582;922;1560;1565;1484;1435;1320;1080;964;875;766;658;521;431;381;379;15282
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
