 Morbidade Hospitalar do SUS - por local de residência - Rio Grande do Sul
Internações por Ano atendimento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Ago/2022
"Ano atendimento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"2007";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"2008";-;-;-;-;3;-;4;2;1;7;-;1;-;-;-;-;-;-;18
"2009";-;2;-;-;1;-;-;3;1;-;1;1;-;-;-;-;-;-;9
"2010";2;3;6;8;10;10;20;14;14;13;25;10;9;11;10;10;8;8;191
"2011";-;2;3;5;8;5;9;6;5;5;5;2;4;4;4;-;-;-;67
"2012";-;-;1;1;-;7;3;1;3;-;1;-;-;-;2;-;-;-;19
"2013";-;2;3;3;4;4;8;5;4;2;8;2;3;1;4;2;-;-;55
"2014";2;-;1;3;5;6;2;2;1;4;2;1;-;-;2;-;1;2;34
"2015";-;2;6;13;16;14;14;16;19;18;7;13;13;8;13;11;5;7;195
"2016";2;5;9;9;22;25;22;19;27;11;21;20;11;12;10;9;1;7;242
"2017";-;2;3;2;5;4;5;4;2;5;2;4;2;1;-;-;1;1;43
"2018";-;-;-;-;1;2;-;2;2;2;2;1;2;1;2;1;-;-;18
"2019";-;2;6;9;9;6;11;4;6;10;6;6;14;2;3;2;-;1;97
"2020";-;-;5;8;4;10;11;5;10;11;13;8;7;12;5;6;8;7;130
"2021";-;5;11;6;12;16;15;17;24;16;20;18;16;11;20;14;16;21;258
"2022";5;33;93;114;97;85;99;98;99;101;82;119;119;111;108;103;95;126;1687
"Total";11;58;147;181;197;194;223;198;219;205;195;206;200;174;183;158;135;180;3064
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
