year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2008,0,0,0,0,3,0,4,2,1,7,0,1,0,0,0,0,0,0
2009,0,2,0,0,1,0,0,3,1,0,1,1,0,0,0,0,0,0
2010,2,3,6,8,10,10,20,14,14,13,25,10,9,11,10,10,8,8
2011,0,2,3,5,8,5,9,6,5,5,5,2,4,4,4,0,0,0
2012,0,0,1,1,0,7,3,1,3,0,1,0,0,0,2,0,0,0
2013,0,2,3,3,4,4,8,5,4,2,8,2,3,1,4,2,0,0
2014,2,0,1,3,5,6,2,2,1,4,2,1,0,0,2,0,1,2
2015,0,2,6,13,16,14,14,16,19,18,7,13,13,8,13,11,5,7
2016,2,5,9,9,22,25,22,19,27,11,21,20,11,12,10,9,1,7
2017,0,2,3,2,5,4,5,4,2,5,2,4,2,1,0,0,1,1
2018,0,0,0,0,1,2,0,2,2,2,2,1,2,1,2,1,0,0
2019,0,2,6,9,9,6,11,4,6,10,6,6,14,2,3,2,0,1
2020,0,0,5,8,4,10,11,5,10,11,13,8,7,12,5,6,8,7
