 Morbidade Hospitalar do SUS - por local de residência - Rio Grande do Sul
Internações por Ano processamento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:Jun/1995-Dez/2007
"Ano processamento";"Menor 1 ano";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"1998";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"2000";-;-;-;-;-;-;1;1;-;1;1;-;-;-;-;-;1;5
"2001";-;-;-;-;2;1;-;1;-;-;-;1;-;-;-;-;-;5
"2002";-;3;4;3;1;4;6;1;3;2;3;4;1;-;-;-;-;35
"2003";-;-;-;-;-;2;-;-;1;-;-;1;-;-;-;-;-;4
"2004";-;-;-;-;-;1;2;1;-;1;-;-;-;-;-;-;-;5
"2005";-;-;-;1;1;-;-;2;-;-;1;-;-;1;-;-;-;6
"2006";-;1;-;-;-;3;1;1;1;1;-;-;-;-;-;-;-;8
"2007";1;2;2;5;3;6;6;4;4;7;2;3;4;1;1;1;-;52
"Total";1;6;8;9;7;17;16;11;9;12;7;9;5;2;1;1;1;122
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
