 Morbidade Hospitalar do SUS - por local de residência - Rondônia
Internações por Ano atendimento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Ago/2022
"Ano atendimento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"2007";1;1;8;5;8;9;7;5;6;3;6;6;3;3;2;-;3;3;79
"2008";23;48;57;108;117;121;120;93;97;81;62;49;47;35;31;29;17;10;1145
"2009";73;190;301;324;414;423;408;386;342;277;269;212;169;126;122;93;73;78;4280
"2010";82;256;421;387;439;398;428;382;359;315;255;212;170;165;119;119;86;88;4681
"2011";24;111;173;203;232;213;210;178;156;115;116;89;80;60;55;42;33;46;2136
"2012";30;86;114;133;192;168;126;145;93;114;84;65;56;38;33;30;22;27;1556
"2013";64;150;222;271;307;253;235;258;233;180;179;135;129;111;68;83;54;79;3011
"2014";32;79;118;141;140;119;138;110;98;76;81;63;50;34;39;32;22;33;1405
"2015";42;83;83;114;140;107;71;98;90;78;76;79;72;55;32;33;31;35;1319
"2016";45;121;134;154;120;102;121;102;98;106;75;72;59;50;42;31;24;44;1500
"2017";7;29;49;43;52;63;48;38;55;35;39;30;34;22;15;12;13;18;602
"2018";10;28;26;23;38;27;35;31;23;12;15;27;13;15;5;9;5;8;350
"2019";8;37;30;45;36;40;19;18;31;30;22;32;27;16;9;14;11;17;442
"2020";13;18;28;48;44;32;21;46;41;50;41;29;38;17;16;9;11;12;514
"2021";7;24;21;20;20;28;21;20;25;15;17;17;15;14;14;2;4;8;292
"2022";19;54;134;133;113;98;107;90;119;84;95;88;66;48;56;33;22;33;1392
"Total";480;1315;1919;2152;2412;2201;2115;2000;1866;1571;1432;1205;1028;809;658;571;431;539;24704
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
