year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2008,23,48,57,108,117,121,120,93,97,81,62,49,47,35,31,29,17,10
2009,73,190,301,324,414,423,408,386,342,277,269,212,169,126,122,93,73,78
2010,82,256,421,387,439,398,428,382,359,315,255,212,170,165,119,119,86,88
2011,24,111,173,203,232,213,210,178,156,115,116,89,80,60,55,42,33,46
2012,30,86,114,133,192,168,126,145,93,114,84,65,56,38,33,30,22,27
2013,64,150,222,271,307,253,235,258,233,180,179,135,129,111,68,83,54,79
2014,32,79,118,141,140,119,138,110,98,76,81,63,50,34,39,32,22,33
2015,42,83,83,114,140,107,71,98,90,78,76,79,72,55,32,33,31,35
2016,45,121,134,154,120,102,121,102,98,106,75,72,59,50,42,31,24,44
2017,7,29,49,43,52,63,48,38,55,35,39,30,34,22,15,12,13,18
2018,10,28,26,23,38,27,35,31,23,12,15,27,13,15,5,9,5,8
2019,8,37,30,45,36,40,19,18,31,30,22,32,27,16,9,14,11,17
2020,13,18,28,48,44,32,21,46,41,50,41,29,38,17,16,9,11,12
