 Morbidade Hospitalar do SUS - por local de residência - Rondônia
Internações por Ano processamento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:1995-2007
"Ano processamento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"1998";-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"1999";-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"2000";-;2;1;2;1;3;-;2;4;3;-;-;-;-;-;-;-;-;18
"2001";4;5;8;19;33;23;29;22;19;5;18;11;2;1;3;4;1;2;209
"2002";6;17;38;74;92;77;85;58;66;38;36;38;19;18;28;11;11;4;716
"2003";6;14;26;41;80;69;65;73;51;44;32;27;22;16;21;9;3;3;602
"2004";2;8;12;32;43;46;55;51;40;30;25;16;33;12;12;9;6;7;439
"2005";7;31;64;117;159;186;150;138;115;98;69;58;43;40;41;27;18;15;1376
"2006";4;21;43;72;90;76;71;74;51;53;40;33;32;17;18;15;5;8;723
"2007";6;28;40;62;71;75;62;42;41;49;27;25;22;14;13;13;15;17;622
"Total";35;127;232;420;570;556;518;460;387;321;247;208;173;118;136;88;59;56;4711
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
