 Morbidade Hospitalar do SUS - por local de residência - Roraima
Internações por Ano atendimento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Ago/2022
"Ano atendimento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"2008";48;65;158;119;76;73;75;66;62;63;43;41;38;24;10;13;6;13;993
"2009";36;60;100;78;49;70;47;61;49;33;46;25;31;28;16;13;15;8;765
"2010";38;90;128;100;76;93;102;85;76;68;76;66;69;45;36;29;17;19;1213
"2011";8;14;27;24;24;23;22;13;17;20;21;4;8;3;2;5;4;4;243
"2012";9;21;36;34;36;21;25;29;15;18;10;16;10;7;6;3;3;1;300
"2013";2;6;7;7;11;6;6;8;4;3;2;3;2;1;-;-;-;1;69
"2014";5;4;3;5;5;6;5;7;2;8;5;3;4;1;2;3;1;-;69
"2015";2;3;12;14;10;11;17;15;8;8;1;8;5;7;3;6;-;1;131
"2016";2;4;4;6;1;6;2;6;1;1;-;2;3;3;3;-;-;-;44
"2017";2;8;9;11;6;4;6;6;9;2;4;-;4;1;2;2;-;1;77
"2018";2;4;3;4;2;-;-;2;1;-;2;-;2;-;-;-;-;-;22
"2019";9;16;27;34;10;8;3;2;4;8;1;2;2;4;2;2;2;-;136
"2020";2;6;4;14;6;1;4;7;1;2;-;2;-;-;-;2;1;-;52
"2021";1;1;-;3;-;-;-;2;-;-;-;-;-;-;-;1;-;-;8
"Total";166;302;518;453;312;322;314;309;249;234;211;172;178;124;82;79;49;48;4122
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
