year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2008,48,65,158,119,76,73,75,66,62,63,43,41,38,24,10,13,6,13
2009,36,60,100,78,49,70,47,61,49,33,46,25,31,28,16,13,15,8
2010,38,90,128,100,76,93,102,85,76,68,76,66,69,45,36,29,17,19
2011,8,14,27,24,24,23,22,13,17,20,21,4,8,3,2,5,4,4
2012,9,21,36,34,36,21,25,29,15,18,10,16,10,7,6,3,3,1
2013,2,6,7,7,11,6,6,8,4,3,2,3,2,1,0,0,0,1
2014,5,4,3,5,5,6,5,7,2,8,5,3,4,1,2,3,1,0
2015,2,3,12,14,10,11,17,15,8,8,1,8,5,7,3,6,0,1
2016,2,4,4,6,1,6,2,6,1,1,0,2,3,3,3,0,0,0
2017,2,8,9,11,6,4,6,6,9,2,4,0,4,1,2,2,0,1
2018,2,4,3,4,2,0,0,2,1,0,2,0,2,0,0,0,0,0
2019,9,16,27,34,10,8,3,2,4,8,1,2,2,4,2,2,2,0
2020,2,6,4,14,6,1,4,7,1,2,0,2,0,0,0,2,1,0
