 Morbidade Hospitalar do SUS - por local de residência - Roraima
Internações por Ano processamento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:1995-2007
"Ano processamento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"1998";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"1999";-;-;-;-;1;1;1;-;2;1;-;2;-;-;-;-;-;-;8
"2000";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"2001";-;1;1;4;1;1;1;1;5;1;1;-;-;-;-;1;-;-;18
"2002";-;1;1;1;1;3;-;1;1;1;1;-;1;1;-;-;-;-;13
"2003";-;1;2;3;2;5;4;2;4;1;4;3;3;-;-;-;2;-;36
"2004";1;-;-;-;-;1;2;1;-;-;-;-;-;1;1;1;-;-;8
"2005";-;2;1;8;13;14;20;29;19;8;5;6;6;7;-;2;2;-;142
"2006";-;1;8;4;7;10;14;11;9;6;6;5;9;8;4;6;3;1;112
"2007";4;4;8;8;5;11;9;6;6;9;3;7;4;5;1;1;2;1;94
"Total";5;11;21;28;30;46;51;52;46;27;20;23;23;22;6;11;9;2;433
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
