 Morbidade Hospitalar do SUS - por local de residência - Bahia
Internações por Ano atendimento e Faixa Etária 2
Município: 292740 SALVADOR
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Set/2022
"Ano atendimento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"2007";-;-;-;-;-;-;-;-;-;-;2;1;-;1;-;-;-;-;4
"2008";1;2;13;8;1;2;1;1;3;4;-;2;-;1;1;-;1;-;41
"2009";6;22;117;112;23;18;19;16;16;16;14;11;5;5;-;1;-;2;403
"2010";28;56;222;304;32;26;25;27;24;14;19;13;9;5;4;1;3;-;812
"2011";16;36;86;164;34;23;24;30;16;11;16;12;8;3;1;2;2;-;484
"2012";4;15;28;68;23;16;20;17;22;11;10;5;7;3;1;2;2;-;254
"2013";5;12;10;10;9;8;3;1;5;3;2;1;2;-;-;-;-;2;73
"2014";3;9;14;16;24;17;13;22;10;6;10;6;8;4;2;1;-;1;166
"2015";1;6;8;5;4;8;3;6;2;4;5;2;4;3;2;1;2;2;68
"2016";1;3;5;8;1;2;-;3;2;-;-;2;3;-;1;-;1;1;33
"2017";3;1;3;1;-;1;1;-;-;-;-;-;1;-;-;-;-;-;11
"2018";-;-;1;-;1;1;1;-;-;1;-;1;-;-;-;-;-;-;6
"2019";6;18;95;69;23;8;12;9;10;8;11;5;8;6;3;3;1;3;298
"2020";8;16;26;25;8;6;3;1;1;3;3;2;1;3;4;1;2;2;115
"2021";1;-;1;-;1;-;-;-;-;-;-;1;1;-;-;4;-;-;9
"2022";2;2;32;28;6;4;2;3;2;2;1;-;-;-;-;-;-;-;84
"Total";85;198;661;818;190;140;127;136;113;83;93;64;57;34;19;16;14;13;2861
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
