year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2008,1,2,13,8,1,2,1,1,3,4,0,2,0,1,1,0,1,0
2009,6,22,117,112,23,18,19,16,16,16,14,11,5,5,0,1,0,2
2010,28,56,222,304,32,26,25,27,24,14,19,13,9,5,4,1,3,0
2011,16,36,86,164,34,23,24,30,16,11,16,12,8,3,1,2,2,0
2012,4,15,28,68,23,16,20,17,22,11,10,5,7,3,1,2,2,0
2013,5,12,10,10,9,8,3,1,5,3,2,1,2,0,0,0,0,2
2014,3,9,14,16,24,17,13,22,10,6,10,6,8,4,2,1,0,1
2015,1,6,8,5,4,8,3,6,2,4,5,2,4,3,2,1,2,2
2016,1,3,5,8,1,2,0,3,2,0,0,2,3,0,1,0,1,1
2017,3,1,3,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
2018,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0
2019,6,18,95,69,23,8,12,9,10,8,11,5,8,6,3,3,1,3
2020,8,16,26,25,8,6,3,1,1,3,3,2,1,3,4,1,2,2
