 Morbidade Hospitalar do SUS - por local de residência - Santa Catarina
Internações por Ano atendimento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Ago/2022
"Ano atendimento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"2007";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"2008";-;-;1;1;-;-;3;4;3;1;1;2;1;-;-;-;-;-;17
"2009";-;-;-;3;-;2;1;2;-;3;-;-;1;-;-;-;-;-;12
"2010";-;-;1;2;-;4;7;2;4;5;2;2;3;2;1;-;-;-;35
"2011";-;-;1;-;1;3;2;6;5;2;3;-;1;2;-;-;-;-;26
"2012";-;1;-;-;3;-;1;3;2;1;2;-;2;-;1;-;-;1;17
"2013";1;-;3;2;5;7;2;2;3;4;3;1;1;3;-;-;-;-;37
"2014";-;2;1;1;-;1;1;1;1;1;2;2;2;-;-;-;-;1;16
"2015";2;1;5;14;11;11;17;19;5;11;8;9;2;5;2;2;-;1;125
"2016";1;7;9;21;46;53;46;37;26;32;25;30;29;19;19;18;9;9;436
"2017";-;3;6;2;4;3;7;9;8;3;4;-;1;-;2;2;-;-;54
"2018";-;2;1;-;4;2;6;2;2;1;-;1;3;-;-;-;-;1;25
"2019";-;-;7;11;16;10;11;17;16;13;9;8;6;7;5;2;1;1;140
"2020";1;5;9;17;11;12;21;16;9;14;15;13;14;8;7;5;2;2;181
"2021";3;5;11;19;9;9;8;9;16;10;6;4;7;9;13;3;3;6;150
"2022";5;37;85;120;122;122;126;132;125;155;134;124;148;129;156;129;115;164;2128
"Total";13;63;140;213;232;240;259;261;225;256;214;196;221;184;206;161;130;186;3400
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
