year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2008,0,0,1,1,0,0,3,4,3,1,1,2,1,0,0,0,0,0
2009,0,0,0,3,0,2,1,2,0,3,0,0,1,0,0,0,0,0
2010,0,0,1,2,0,4,7,2,4,5,2,2,3,2,1,0,0,0
2011,0,0,1,0,1,3,2,6,5,2,3,0,1,2,0,0,0,0
2012,0,1,0,0,3,0,1,3,2,1,2,0,2,0,1,0,0,1
2013,1,0,3,2,5,7,2,2,3,4,3,1,1,3,0,0,0,0
2014,0,2,1,1,0,1,1,1,1,1,2,2,2,0,0,0,0,1
2015,2,1,5,14,11,11,17,19,5,11,8,9,2,5,2,2,0,1
2016,1,7,9,21,46,53,46,37,26,32,25,30,29,19,19,18,9,9
2017,0,3,6,2,4,3,7,9,8,3,4,0,1,0,2,2,0,0
2018,0,2,1,0,4,2,6,2,2,1,0,1,3,0,0,0,0,1
2019,0,0,7,11,16,10,11,17,16,13,9,8,6,7,5,2,1,1
2020,1,5,9,17,11,12,21,16,9,14,15,13,14,8,7,5,2,2
