 Morbidade Hospitalar do SUS - por local de residência - Santa Catarina
Internações por Ano processamento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:1995-2007
"Ano processamento";"Menor 1 ano";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"Total"
"1998";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"1999";-;-;-;-;1;-;-;-;1;-;-;-;-;-;2
"2000";1;-;-;-;-;-;-;1;-;-;-;2;-;-;4
"2001";-;-;-;-;-;-;-;-;-;1;1;1;-;1;4
"2002";-;4;2;-;4;8;5;3;6;5;-;1;2;-;40
"2003";-;-;-;-;1;5;2;1;-;-;-;1;-;-;10
"2004";-;-;1;-;1;2;3;-;-;1;-;1;-;-;9
"2005";-;1;-;1;2;2;2;-;-;1;1;1;-;-;11
"2006";-;-;-;-;-;3;-;-;2;-;-;-;-;-;5
"2007";-;-;2;2;2;2;1;2;1;1;3;1;-;-;17
"Total";1;5;5;3;12;22;13;7;10;9;5;8;2;1;103
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
