 Morbidade Hospitalar do SUS - por local de residência - São Paulo
Internações por Ano atendimento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Ago/2022
"Ano atendimento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"2007";3;-;3;4;-;3;4;6;1;-;4;2;1;2;1;2;-;3;39
"2008";21;44;93;90;92;117;117;97;74;67;65;34;31;21;21;12;9;10;1015
"2009";14;26;33;65;73;93;111;94;71;83;65;55;33;26;17;18;11;8;896
"2010";112;187;665;616;481;515;518;480;438;429;384;348;310;256;250;201;133;137;6460
"2011";45;102;234;290;302;314;319;271;246;227;211;214;146;121;97;75;86;78;3378
"2012";27;41;63;119;103;113;124;98;84;85;79;66;60;39;21;28;16;22;1188
"2013";51;99;243;328;358;295;368;337;313;315;271;279;216;188;156;134;120;133;4204
"2014";58;122;259;405;343;319;368;327;307;282;291;282;243;208;196;147;102;131;4390
"2015";198;351;697;1141;1148;1004;947;950;873;892;911;938;919;857;801;711;592;766;14696
"2016";136;179;320;356;357;315;313;309;282;276;327;282;298;274;216;196;140;183;4759
"2017";36;68;80;77;71;65;73;65;69;49;42;35;39;24;22;14;13;18;860
"2018";21;57;65;59;56;86;59;88;79;56;62;71;75;47;36;35;27;27;1006
"2019";120;172;433;522;442;598;607;668;776;732;754;808;859;827;647;565;459;568;10557
"2020";80;116;209;238;197;279;287;319;372;387;385;404;464;411;332;373;242;362;5457
"2021";51;88;177;140;88;119;115;113;100;111;107;142;114;132;108;110;59;88;1962
"2022";56;113;252;251;273;308;317;340;381;391;403;396;459;455;440;434;361;546;6176
"Total";1029;1765;3826;4701;4384;4543;4647;4562;4466;4382;4361;4356;4267;3888;3361;3055;2370;3080;67043
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
