year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2008,21,44,93,90,92,117,117,97,74,67,65,34,31,21,21,12,9,10
2009,14,26,33,65,73,93,111,94,71,83,65,55,33,26,17,18,11,8
2010,112,187,665,616,481,515,518,480,438,429,384,348,310,256,250,201,133,137
2011,45,102,234,290,302,314,319,271,246,227,211,214,146,121,97,75,86,78
2012,27,41,63,119,103,113,124,98,84,85,79,66,60,39,21,28,16,22
2013,51,99,243,328,358,295,368,337,313,315,271,279,216,188,156,134,120,133
2014,58,122,259,405,343,319,368,327,307,282,291,282,243,208,196,147,102,131
2015,198,351,697,1141,1148,1004,947,950,873,892,911,938,919,857,801,711,592,766
2016,136,179,320,356,357,315,313,309,282,276,327,282,298,274,216,196,140,183
2017,36,68,80,77,71,65,73,65,69,49,42,35,39,24,22,14,13,18
2018,21,57,65,59,56,86,59,88,79,56,62,71,75,47,36,35,27,27
2019,120,172,433,522,442,598,607,668,776,732,754,808,859,827,647,565,459,568
2020,80,116,209,238,197,279,287,319,372,387,385,404,464,411,332,373,242,362
