 Morbidade Hospitalar do SUS - por local de residência - São Paulo
Internações por Ano processamento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:1995-2007
"Ano processamento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"1998";1;1;4;9;9;11;14;9;9;11;6;4;-;2;4;2;-;1;97
"1999";3;-;4;10;22;18;28;13;15;21;11;12;6;5;6;4;1;1;180
"2000";2;-;2;1;9;6;6;5;7;3;9;7;5;2;1;-;-;-;65
"2001";3;12;20;30;50;50;55;49;41;34;30;18;16;14;18;12;11;6;469
"2002";8;18;48;112;139;140;139;116;96;90;73;57;41;34;26;19;10;15;1181
"2003";4;14;39;51;98;133;126;109;87;75;55;46;31;23;19;10;2;-;922
"2004";3;15;14;17;26;46;29;24;26;23;16;9;8;9;1;5;-;3;274
"2005";4;3;16;22;42;52;44;53;38;19;24;18;9;11;9;8;5;1;378
"2006";12;42;97;136;152;195;180;120;128;117;86;82;48;42;33;23;28;25;1546
"2007";31;78;198;365;458;457;480;370;329;299;267;208;155;170;144;115;115;77;4316
"Total";71;183;442;753;1005;1108;1101;868;776;692;577;461;319;312;261;198;172;129;9428
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
