 Morbidade Hospitalar do SUS - por local de residência - Sergipe
Internações por Ano atendimento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Ago/2022
"Ano atendimento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"2007";1;2;6;2;7;2;3;2;1;2;1;2;2;1;1;1;-;-;36
"2008";82;273;683;307;161;154;146;94;110;85;55;51;37;23;23;22;19;17;2342
"2009";8;33;27;28;29;25;19;28;17;8;10;13;3;5;7;2;2;1;265
"2010";8;20;45;28;26;31;19;14;9;6;9;7;2;4;-;5;2;3;238
"2011";22;93;164;112;54;60;34;33;21;25;9;21;9;7;5;4;8;4;685
"2012";20;72;106;95;35;37;27;16;18;20;13;14;9;7;13;6;2;4;514
"2013";8;20;24;26;14;12;5;4;8;1;1;3;5;-;1;6;-;5;143
"2014";6;23;34;21;11;8;9;18;7;11;5;4;3;4;5;5;1;5;180
"2015";7;23;33;29;14;22;18;11;20;11;14;6;6;11;7;11;9;5;257
"2016";5;16;17;18;6;7;2;2;7;4;5;2;3;1;2;5;2;2;106
"2017";1;10;9;5;-;2;-;1;2;-;1;2;-;-;-;1;1;-;35
"2018";1;3;4;2;1;2;1;1;-;1;-;1;-;-;-;-;-;1;18
"2019";47;116;415;257;95;44;40;23;28;23;16;16;14;10;12;9;12;6;1183
"2020";5;17;34;17;5;1;3;3;-;-;3;-;2;4;2;1;-;-;97
"2021";2;12;8;12;7;6;6;8;4;7;3;1;5;1;-;-;-;1;83
"2022";6;11;58;57;10;11;8;10;5;4;5;3;2;1;-;3;1;1;196
"Total";229;744;1667;1016;475;424;340;268;257;208;150;146;102;79;78;81;59;55;6378
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
