year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2008,82,273,683,307,161,154,146,94,110,85,55,51,37,23,23,22,19,17
2009,8,33,27,28,29,25,19,28,17,8,10,13,3,5,7,2,2,1
2010,8,20,45,28,26,31,19,14,9,6,9,7,2,4,0,5,2,3
2011,22,93,164,112,54,60,34,33,21,25,9,21,9,7,5,4,8,4
2012,20,72,106,95,35,37,27,16,18,20,13,14,9,7,13,6,2,4
2013,8,20,24,26,14,12,5,4,8,1,1,3,5,0,1,6,0,5
2014,6,23,34,21,11,8,9,18,7,11,5,4,3,4,5,5,1,5
2015,7,23,33,29,14,22,18,11,20,11,14,6,6,11,7,11,9,5
2016,5,16,17,18,6,7,2,2,7,4,5,2,3,1,2,5,2,2
2017,1,10,9,5,0,2,0,1,2,0,1,2,0,0,0,1,1,0
2018,1,3,4,2,1,2,1,1,0,1,0,1,0,0,0,0,0,1
2019,47,116,415,257,95,44,40,23,28,23,16,16,14,10,12,9,12,6
2020,5,17,34,17,5,1,3,3,0,0,3,0,2,4,2,1,0,0
