 Morbidade Hospitalar do SUS - por local de residência - Sergipe
Internações por Ano processamento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:1995-2007
"Ano processamento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"1998";4;7;17;50;81;95;89;63;50;45;46;37;31;27;17;20;18;14;711
"1999";2;6;14;48;83;78;79;58;46;39;25;26;26;13;16;16;10;10;595
"2000";2;6;8;39;65;61;68;53;26;37;30;24;18;19;15;6;7;10;494
"2001";-;-;12;34;71;90;88;64;67;43;39;30;20;15;14;15;12;14;628
"2002";-;10;43;71;94;127;116;98;81;64;53;51;52;33;31;18;4;24;970
"2003";4;16;52;136;179;190;159;128;141;113;88;55;53;55;34;22;26;23;1474
"2004";-;7;8;16;32;40;35;31;14;12;15;11;10;5;7;6;1;6;256
"2005";1;7;8;14;15;31;22;14;13;11;8;8;7;5;3;4;7;2;180
"2006";1;2;14;19;43;21;19;22;16;16;21;11;7;5;8;4;-;2;231
"2007";1;4;7;16;17;20;20;20;21;11;7;4;4;4;1;3;2;3;165
"Total";15;65;183;443;680;753;695;551;475;391;332;257;228;181;146;114;87;108;5704
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
