 Morbidade Hospitalar do SUS - por local de residência - Tocantins
Internações por Ano atendimento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Ago/2022
"Ano atendimento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"2007";3;13;17;9;4;2;9;7;8;5;3;6;3;4;5;2;-;-;100
"2008";41;93;157;158;118;113;99;84;67;58;72;59;37;36;23;23;13;14;1265
"2009";21;69;92;117;114;87;85;79;62;56;47;52;32;17;21;12;16;16;995
"2010";40;58;119;120;158;133;103;108;86;67;74;49;44;38;31;27;21;31;1307
"2011";38;63;91;111;119;93;89;77;61;71;60;42;44;28;26;26;17;18;1074
"2012";26;43;113;130;122;82;109;68;67;64;71;47;46;30;20;22;16;15;1091
"2013";14;44;64;108;121;96;96;68;86;64;71;73;50;40;31;22;16;21;1085
"2014";8;46;62;75;85;48;48;68;39;49;45;42;29;23;29;13;14;13;736
"2015";3;31;42;42;69;34;33;49;34;28;31;25;13;23;11;12;9;10;499
"2016";12;33;34;30;46;25;30;21;35;29;21;12;18;10;12;17;8;7;400
"2017";7;28;40;37;27;21;14;14;18;18;20;16;13;9;2;11;6;9;310
"2018";10;12;25;20;14;12;9;15;7;15;12;7;5;12;4;-;1;4;184
"2019";30;42;74;59;51;40;35;36;39;33;37;19;23;19;26;11;9;14;597
"2020";10;7;11;8;9;11;3;5;8;7;5;8;6;5;2;4;1;4;114
"2021";13;41;66;48;52;28;19;18;19;8;18;15;13;10;6;3;4;11;392
"2022";47;67;133;95;66;45;29;28;29;32;22;31;16;16;17;13;10;12;708
"Total";323;690;1140;1167;1175;870;810;745;665;604;609;503;392;320;266;218;161;199;10857
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
