year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2008,41,93,157,158,118,113,99,84,67,58,72,59,37,36,23,23,13,14
2009,21,69,92,117,114,87,85,79,62,56,47,52,32,17,21,12,16,16
2010,40,58,119,120,158,133,103,108,86,67,74,49,44,38,31,27,21,31
2011,38,63,91,111,119,93,89,77,61,71,60,42,44,28,26,26,17,18
2012,26,43,113,130,122,82,109,68,67,64,71,47,46,30,20,22,16,15
2013,14,44,64,108,121,96,96,68,86,64,71,73,50,40,31,22,16,21
2014,8,46,62,75,85,48,48,68,39,49,45,42,29,23,29,13,14,13
2015,3,31,42,42,69,34,33,49,34,28,31,25,13,23,11,12,9,10
2016,12,33,34,30,46,25,30,21,35,29,21,12,18,10,12,17,8,7
2017,7,28,40,37,27,21,14,14,18,18,20,16,13,9,2,11,6,9
2018,10,12,25,20,14,12,9,15,7,15,12,7,5,12,4,0,1,4
2019,30,42,74,59,51,40,35,36,39,33,37,19,23,19,26,11,9,14
2020,10,7,11,8,9,11,3,5,8,7,5,8,6,5,2,4,1,4
