 Morbidade Hospitalar do SUS - por local de residência - Tocantins
Internações por Ano processamento e Faixa Etária 2
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:1995-2007
"Ano processamento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"1998";-;3;2;11;13;17;12;13;7;10;8;12;3;6;3;1;1;3;125
"1999";-;1;5;6;10;17;16;9;15;15;6;5;10;5;7;2;2;1;132
"2000";-;1;4;6;10;10;15;8;5;5;2;7;2;3;-;3;1;2;84
"2001";2;7;10;27;39;47;46;46;37;38;18;21;22;15;4;8;6;5;398
"2002";1;12;14;22;40;44;33;25;29;23;28;15;11;12;10;9;5;9;342
"2003";2;13;17;26;31;28;24;17;30;11;11;18;13;8;8;5;2;1;265
"2004";1;11;28;40;39;34;37;29;34;16;24;10;12;8;12;15;5;2;357
"2005";5;9;23;45;35;65;53;35;45;22;33;19;16;9;14;10;6;13;457
"2006";4;14;31;52;57;54;59;40;42;28;17;22;13;6;9;8;10;6;472
"2007";11;53;96;143;150;161;118;128;88;82;65;52;39;41;37;23;15;22;1324
"Total";26;124;230;378;424;477;413;350;332;250;212;181;141;113;104;84;53;64;3956
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
