 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Unidade da Federação e Idade simples
Período:2016
"Unidade da Federação";"Menos que 1 ano de idade";"1  ano";"2  anos";"3  anos";"4  anos";"5  anos";"6  anos";"7  anos";"8  anos";"9  anos";"10 anos";"11 anos";"12 anos";"13 anos";"14 anos";"15 anos";"16 anos";"17 anos";"18 anos";"19 anos";"20 anos";"21 anos";"22 anos";"23 anos";"24 anos";"25 anos";"26 anos";"27 anos";"28 anos";"29 anos";"30 anos";"31 anos";"32 anos";"33 anos";"34 anos";"35 anos";"36 anos";"37 anos";"38 anos";"39 anos";"40 anos";"41 anos";"42 anos";"43 anos";"44 anos";"45 anos";"46 anos";"47 anos";"48 anos";"49 anos";"50 anos";"51 anos";"52 anos";"53 anos";"54 anos";"55 anos";"56 anos";"57 anos";"58 anos";"59 anos";"60 anos";"61 anos";"62 anos";"63 anos";"64 anos";"65 anos";"66 anos";"67 anos";"68 anos";"69 anos";"70 anos";"71 anos";"72 anos";"73 anos";"74 anos";"75 anos";"76 anos";"77 anos";"78 anos";"79 anos";"80 anos e mais";"Total"
"11 Rondônia";27478;28029;27481;26873;26643;26357;26670;26981;27302;27725;28573;28892;29003;29485;30817;32377;31202;31461;31636;31686;31616;31532;31440;31318;31168;31031;30959;30830;30755;30766;30779;30663;30449;30117;29636;28971;28313;27670;26974;26234;25406;24650;23873;23239;22784;22381;21965;21541;21068;20499;19770;19104;18451;17747;16997;16140;15329;14532;13758;13042;12256;11514;10790;10083;9409;8660;7996;7386;6825;6339;5806;5353;4932;4549;4223;3834;3510;3228;2946;2684;15420;1717911
"12 Acre";16490;17294;17096;16748;17254;16842;16629;17899;18340;18253;18646;18584;18329;18725;18741;18613;18246;18034;17727;17310;16788;16288;15759;15300;14971;14702;14449;14179;13989;13893;13844;13794;13738;13595;13334;12942;12581;12219;11813;11350;10836;10342;9828;9391;9069;8780;8505;8236;7934;7568;7144;6778;6401;6089;5843;5605;5395;5180;4963;4726;4447;4222;4005;3784;3566;3321;3108;2899;2721;2585;2424;2286;2145;2006;1858;1667;1515;1375;1246;1141;7875;844137
"13 Amazonas";80538;83597;83348;81550;80500;78719;79387;81040;80431;79677;79055;76836;75121;76774;78504;81283;80442;81861;82289;81214;79100;77224;75247;73564;72501;71711;70722;69556;68599;67974;67385;66817;66272;65433;64124;62379;60721;59064;57192;55071;52715;50435;48129;46025;44295;42685;41098;39503;37962;36476;34910;33484;32103;30766;29465;28047;26683;25370;24056;22787;21395;20154;19003;17859;16721;15488;14328;13229;12254;11457;10643;9920;9276;8642;8026;7278;6633;6066;5539;5069;33375;3952171
"14 Roraima";10850;10761;10756;10598;10538;10482;10448;10550;10510;10275;9893;10015;10489;10153;10189;10580;10707;10879;10912;10762;10510;10315;10097;9909;9794;9728;9609;9414;9287;9265;9270;9264;9294;9239;9021;8664;8338;8026;7696;7367;7016;6673;6339;6044;5830;5629;5434;5261;5083;4921;4719;4557;4410;4253;4069;3845;3649;3447;3254;3082;2880;2709;2537;2384;2234;2072;1919;1783;1645;1520;1354;1223;1097;991;909;818;747;688;628;566;3294;525967
"15 Pará";142731;147093;146152;144761;146966;149145;150952;156754;160024;161320;162723;161505;162903;163152;163377;165411;167178;168279;168177;166285;163066;160183;157258;154756;153177;152016;150774;149268;147933;146838;145690;144499;143164;141137;138105;134196;130420;126484;122384;118246;113881;109605;105160;101137;97807;94689;91665;88726;85612;82184;78340;74776;71292;68131;65568;63098;60794;58590;56305;53867;51005;48371;45851;43309;40793;37980;35445;32999;30828;29123;27325;25634;24092;22531;20917;18917;17220;15707;14284;13020;83286;8334346
"16 Amapá";16257;16377;16359;15725;15419;15966;16232;16390;15968;15812;15904;15701;16457;16848;16878;17248;16632;16595;16503;16330;16122;15921;15670;15449;15306;15163;14979;14751;14537;14344;14123;13910;13711;13445;13110;12659;12237;11808;11395;11028;10642;10275;9922;9547;9146;8702;8292;7892;7511;7154;6786;6420;6072;5743;5470;5211;4973;4754;4529;4277;3983;3701;3452;3191;2944;2661;2422;2185;2000;1877;1781;1703;1638;1554;1444;1290;1167;1053;949;872;5965;796419
"17 Tocantins";24515;25460;24997;24718;25147;25270;25264;25880;26080;26670;27704;27314;27294;27612;27419;27774;28708;29173;29397;29280;28865;28502;28133;27738;27424;27059;26808;26525;26282;26111;25947;25790;25554;25282;24991;24616;24255;23876;23348;22589;21583;20688;19710;18930;18464;18080;17727;17396;16997;16473;15713;15113;14539;13940;13413;12763;12244;11708;11209;10760;10234;9810;9395;8970;8565;8015;7586;7158;6774;6425;5927;5561;5172;4833;4570;4186;3953;3725;3482;3231;20055;1520448
"21 Maranhão";117803;119403;117340;115425;119411;123846;123263;127832;134485;137292;140909;140521;140770;137993;128941;133957;141365;143174;143550;141737;137816;133854;129791;126429;124447;123355;122945;122875;122362;121161;119542;118075;116108;113775;111021;107808;104586;100955;97162;93260;89065;85058;80798;77329;75136;73497;72006;70617;69018;67045;64505;62342;60256;58183;56209;53893;51783;49679;47720;46028;44129;42557;41063;39478;37797;35629;33679;31754;29970;28471;26670;25145;23698;22336;21147;19612;18361;17229;16037;14771;99055;6955099
"22 Piauí";48047;48393;47003;47003;48524;49038;48618;49688;51670;53262;55583;56321;55425;56547;60115;62872;60991;61597;61785;61350;60029;58594;57080;55900;55370;55083;55217;55658;55673;55061;54144;53491;52629;51881;51378;50939;50377;49565;48423;46932;44919;43178;41259;39814;39057;38595;38172;37744;37231;36538;35504;34655;33846;32924;31944;30630;29497;28315;27232;26296;25174;24257;23355;22451;21591;20422;19505;18613;17714;16807;15581;14571;13553;12675;12076;11264;10633;10070;9420;8672;53989;3246999
"23 Ceará";132101;132075;127709;127369;128769;129921;131026;133623;136044;137834;140828;140541;139816;144297;149448;154467;161783;168060;172140;172702;170579;168498;166254;164277;163232;162646;162217;161867;160734;158537;155534;152618;149179;145848;142867;139940;136980;133846;130585;127131;123354;119742;115926;113001;111359;110324;109264;108231;106854;104880;102149;99690;97382;94285;90147;85008;80179;75237;71048;68187;65754;63362;61009;58880;56958;54794;52947;51417;49453;46890;43476;40342;37204;34684;33167;31726;30353;29263;27699;25405;167111;8962063
