,District,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,rondonia,1566588.0,1582874.0,1598634.0,1618210.0,1637884.0,1657620.0,1677766.0,1698263.0,1717911.0,1737578.0,1757589.0,1777225.0,1796460.0
2,acre,730523.0,748586.0,765325.0,778499.0,792045.0,805014.0,818273.0,831665.0,844137.0,856457.0,869265.0,881935.0,894470.0
3,amazonas,3415112.0,3485174.0,3553148.0,3618040.0,3684326.0,3751293.0,3819636.0,3887740.0,3952171.0,4015812.0,4080611.0,4144597.0,4207714.0
4,roraima,433189.0,446088.0,458820.0,469543.0,480290.0,491066.0,501970.0,513328.0,525967.0,546885.0,576568.0,605761.0,631181.0
5,para,7504065.0,7637004.0,7762953.0,7862943.0,7960134.0,8054419.0,8149418.0,8244575.0,8334346.0,8422634.0,8513497.0,8602865.0,8690745.0
6,amapas,654211.0,674343.0,694261.0,711453.0,728015.0,744809.0,762156.0,779416.0,796419.0,813084.0,829494.0,845731.0,861773.0
7,tocantins,1370924.0,1392316.0,1412989.0,1431478.0,1449779.0,1467474.0,1485318.0,1503482.0,1520448.0,1537350.0,1555229.0,1572866.0,1590248.0
9,maranhao,6561681.0,6639032.0,6710964.0,6757213.0,6798830.0,6836179.0,6875302.0,6916244.0,6955099.0,6994148.0,7035055.0,7075181.0,7114598.0
10,piaui,3153248.0,3173620.0,3192643.0,3203635.0,3213393.0,3221407.0,3229320.0,3238459.0,3246999.0,3255400.0,3264531.0,3273227.0,3281480.0
11,ceara,8443897.0,8535619.0,8623766.0,8680836.0,8737287.0,8791846.0,8846267.0,8904499.0,8962063.0,9017990.0,9075649.0,9132078.0,9187103.0
12,rio_grande_do_norte,3167448.0,3204610.0,3239939.0,3271415.0,3302720.0,3332952.0,3363084.0,3393814.0,3422843.0,3450669.0,3479010.0,3506853.0,3534165.0
13,paraiba,3788518.0,3815616.0,3840796.0,3859813.0,3875373.0,3890494.0,3910059.0,3932537.0,3953693.0,3974437.0,3996496.0,4018127.0,4039277.0
14,pernambuco,8838282.0,8921850.0,9000873.0,9062229.0,9126434.0,9189504.0,9252020.0,9317317.0,9376936.0,9434403.0,9496294.0,9557071.0,9616621.0
15,alagoas,3146543.0,3172200.0,3195720.0,3213606.0,3230877.0,3247527.0,3263946.0,3279649.0,3294061.0,3307968.0,3322820.0,3337357.0,3351543.0
16,sergipe,2056815.0,2083198.0,2108297.0,2130440.0,2152329.0,2173632.0,2195015.0,2216657.0,2237132.0,2257266.0,2278308.0,2298696.0,2318822.0
17,bahia,14162161.0,14235773.0,14302571.0,14372994.0,14441531.0,14505033.0,14565807.0,14629018.0,14689684.0,14749868.0,14812617.0,14873064.0,14930634.0
19,minas_gerais,19689598.0,19826376.0,19957444.0,20096163.0,20235204.0,20371328.0,20508631.0,20648978.0,20780264.0,20908628.0,21040662.0,21168791.0,21292666.0
20,espirito_santo,3514773.0,3555703.0,3596057.0,3642595.0,3689347.0,3736386.0,3784361.0,3832826.0,3879376.0,3925341.0,3972388.0,4018650.0,4064052.0
21,rio_de_janeiro,16002537.0,16153634.0,16303188.0,16405508.0,16510627.0,16616344.0,16726184.0,16841138.0,16947738.0,17051465.0,17159960.0,17264943.0,17366189.0
22,sao_paulo,41411375.0,41857032.0,42298906.0,42707383.0,43119841.0,43528708.0,43937755.0,44356304.0,44760305.0,45149603.0,45538936.0,45919049.0,46289333.0
24,parana,10494940.0,10574671.0,10653276.0,10738066.0,10822187.0,10908262.0,10997989.0,11089062.0,11176203.0,11261927.0,11348937.0,11433957.0,11516840.0
25,santa_catarina,6182665.0,6268299.0,6353055.0,6441468.0,6530943.0,6620186.0,6710154.0,6802306.0,6894058.0,6984749.0,7075494.0,7164788.0,7252502.0
26,rio_grande_do_sul,10833900.0,10875483.0,10914795.0,10963317.0,11014448.0,11066527.0,11119817.0,11175777.0,11229947.0,11280193.0,11329605.0,11377239.0,11422973.0
28,mato_grosso_do_sul,2422756.0,2459099.0,2494745.0,2525762.0,2557442.0,2589069.0,2621214.0,2653928.0,2685454.0,2716534.0,2748023.0,2778986.0,2809394.0
29,mato_grosso,3002237.0,3055066.0,3106513.0,3145830.0,3185148.0,3226030.0,3269448.0,3314540.0,3356979.0,3398791.0,3441998.0,3484466.0,3526220.0
30,goias,5931185.0,6022281.0,6111792.0,6214241.0,6316302.0,6417591.0,6520857.0,6625528.0,6726130.0,6824504.0,6921161.0,7018354.0,7113540.0
31,distrito_federal,2531103.0,2585358.0,2639212.0,2681052.0,2722198.0,2763488.0,2805774.0,2848633.0,2890224.0,2931057.0,2974703.0,3015268.0,3055149.0
