code,DEN 1,DEN 2,DEN 3,DEN 4,year
RO,2,0,0,0,2014
AC,4,0,0,0,2014
AM,14,0,0,42,2014
RR,3,1,2,10,2014
PA,33,2,0,11,2014
AP,3,0,0,0,2014
TO,9,0,0,5,2014
MA,22,1,1,3,2014
PI,25,1,0,1,2014
CE,50,0,3,20,2014
RN,15,0,0,8,2014
PB,11,1,0,0,2014
PE,27,1,4,7,2014
AL,4,0,0,1,2014
SE,7,0,0,5,2014
BA,40,3,0,291,2014
MG,250,1,0,8,2014
ES,33,0,1,12,2014
RJ,54,0,1,22,2014
SP,1066,12,0,67,2014
PR,238,1,0,4,2014
SC,1,0,0,0,2014
RS,20,0,0,2,2014
MS,26,2,0,35,2014
MT,13,0,0,0,2014
GO,293,3,0,56,2014
DF,85,1,0,1,2014
RO,5,0,0,2,2015
AC,4,0,0,0,2015
AM,3,0,0,9,2015
RR,5,2,1,2,2015
PA,31,1,0,27,2015
AP,239,1,0,0,2015
TO,14,1,0,1,2015
MA,17,2,1,0,2015
PI,19,2,1,0,2015
CE,262,0,2,5,2015
RN,22,0,0,0,2015
PB,13,1,0,1,2015
PE,244,3,8,2,2015
AL,8,0,0,10,2015
SE,7,0,0,0,2015
BA,61,2,0,4,2015
MG,646,4,2,7,2015
ES,122,0,0,9,2015
RJ,316,2,0,20,2015
SP,1433,22,4,140,2015
PR,372,2,0,18,2015
SC,2,0,0,0,2015
RS,73,0,0,1,2015
MS,422,23,0,10,2015
MT,52,0,0,2,2015
GO,736,3,2,88,2015
DF,74,1,2,0,2015
RO,79,0,0,2,2016
AC,0,20,0,0,2016
AM,1,0,3,4,2016
PA,7,2,0,2,2016
AP,2,0,0,0,2016
TO,4,0,0,1,2016
MA,17,0,0,8,2016
PI,8,0,1,0,2016
CE,29,0,0,0,2016
RN,16,1,0,1,2016
PB,58,1,0,0,2016
PE,6,2,2,2,2016
AL,1,0,0,0,2016
SE,2,0,0,0,2016
BA,28,1,1,3,2016
MG,491,6,2,6,2016
ES,38,0,0,0,2016
RJ,136,0,1,17,2016
SP,359,52,0,23,2016
PR,1823,5,27,6,2016
SC,4,0,0,0,2016
RS,125,2,0,0,2016
MS,177,1,0,0,2016
MT,126,2,0,1,2016
GO,156,12,2,26,2016
DF,92,26,3,4,2016
RR,0,0,0,0,2016
RO,10,0,0,0,2017
AC,1,0,0,0,2017
AM,26,1,0,0,2017
PA,43,1,0,0,2017
TO,12,4,1,2,2017
MA,5,0,0,0,2017
PI,5,0,0,0,2017
CE,7,0,0,0,2017
RN,2,0,0,0,2017
PE,9,2,0,1,2017
BA,16,4,0,6,2017
MG,33,2,0,0,2017
ES,7,0,0,0,2017
RJ,1,4,1,31,2017
SP,20,11,6,0,2017
PR,4,1,0,1,2017
RS,4,0,0,0,2017
MS,24,0,0,0,2017
MT,6,2,0,0,2017
GO,40,148,1,10,2017
DF,8,24,0,0,2017
AL,0,0,0,0,2017
AP,0,0,0,0,2017
PB,0,0,0,0,2017
RR,0,0,0,0,2017
SC,0,0,0,0,2017
SE,0,0,0,0,2017
RO,7,0,0,0,2018
AC,1,0,0,0,2018
AM,2,0,0,0,2018
RR,15,1,0,0,2018
PA,24,8,0,0,2018
TO,9,131,0,0,2018
MA,1,1,0,0,2018
PI,5,5,0,0,2018
CE,11,0,0,0,2018
RN,20,2,2,1,2018
PB,21,0,0,0,2018
PE,11,0,0,0,2018
AL,3,0,0,0,2018
SE,1,0,0,0,2018
BA,62,8,0,0,2018
MG,29,24,0,1,2018
ES,11,34,0,0,2018
RJ,2,1,0,3,2018
SP,104,249,1,0,2018
PR,38,33,0,1,2018
SC,10,8,0,0,2018
RS,3,1,0,0,2018
MS,6,45,0,0,2018
MT,33,1,0,1,2018
GO,18,135,0,5,2018
DF,9,0,0,0,2018
AP,0,0,0,0,2018
RO,15,3,0,0,2019
AM,42,3,0,0,2019
RR,81,66,0,1,2019
PA,12,14,2,0,2019
AP,1,0,0,0,2019
TO,14,262,0,0,2019
MA,9,6,0,1,2019
PI,139,78,0,0,2019
CE,62,31,0,0,2019
RN,32,1,2,1,2019
PB,50,0,0,0,2019
PE,85,2,0,1,2019
AL,32,2,0,0,2019
SE,279,93,0,0,2019
BA,281,59,0,2,2019
MG,141,476,4,10,2019
ES,18,122,0,0,2019
RJ,3,75,0,1,2019
SP,236,1906,1,4,2019
PR,1983,3184,0,354,2019
SC,164,52,0,0,2019
RS,89,1,0,2,2019
MS,16,510,1,0,2019
MT,69,36,0,19,2019
GO,52,493,0,1,2019
DF,293,507,0,1,2019
AC,0,0,0,0,2019
RO,24,11,0,0,2020
AC,1,0,0,0,2020
AM,21,1,0,0,2020
RR,28,37,0,0,2020
PA,29,3,0,2,2020
TO,8,48,0,0,2020
MA,2,0,0,0,2020
PI,1,6,0,0,2020
CE,20,46,0,0,2020
RN,10,4,0,1,2020
PB,4,7,0,0,2020
PE,7,10,0,0,2020
AL,7,0,0,0,2020
SE,9,4,0,0,2020
BA,210,11,0,4,2020
MG,122,133,0,1,2020
ES,1,7,0,0,2020
RJ,11,67,0,0,2020
SP,196,1006,1,2,2020
PR,625,2442,2,16,2020
SC,27,28,0,3,2020
RS,14,0,0,0,2020
MS,26,1044,0,3,2020
MT,156,53,0,2,2020
GO,70,135,0,1,2020
DF,456,23,0,3,2020
AP,0,0,0,0,2020
