,age_mean,age_lo,age_hi,cases
AC,"[30.14776120137863, 28.906677165354328, 32.36958982346833, 31.531676913155632, 31.94359530141844, 29.85341984732824, 30.134029761904763, 29.933803130644193, 30.315093075333028, 29.80070123926417, 29.31801468029578, 32.400627202892, 32.06189594127807, 29.036469928568785, 28.22638872225555, 29.760306213017753, 31.576082818294193, 30.416385360962565, 31.4555378772326]","[29.48489660265879, 27.71150168728909, 31.30713914849429, 31.064176698194327, 31.308798758865247, 27.935114503816795, 28.781051587301587, 29.093166767007826, 30.07392627468994, 29.616953698475438, 29.04997825141366, 31.697887483054675, 31.342389896373057, 28.815472445316257, 27.68982703459308, 28.83491124260355, 30.731041409147092, 29.981989471925132, 31.104154691028537]","[30.869547021171837, 30.055146231721036, 33.448701973001036, 32.03872527944969, 32.585616134751774, 31.8706106870229, 31.472470238095237, 30.777694160144488, 30.557468706936152, 29.981523968022824, 29.566043660287082, 33.11858337098961, 32.75221286701209, 29.24961693623006, 28.764697060587885, 30.576793639053257, 32.38580037082818, 30.871202372994652, 31.820129336891807]","[2034, 892, 968, 4677, 2278, 263, 505, 1670, 17469, 33895, 18508, 2232, 2329, 27284, 5043, 1361, 1626, 6033, 9828]"
AL,"[32.94499133333334, 30.254034832600606, 31.774391063586023, 31.286154231227652, 31.03978184110971, 30.559551172707888, 28.925789766645256, 24.991873936672967, 27.354529532263573, 24.90854270939392, 26.990666822284467, 29.530723449497934, 27.604114605318696, 29.7874131956912, 29.61107804708338, 32.66175175958877, 31.406686577905724, 29.020770538243625, 27.5973102919708]","[31.974416666666666, 29.85912664863037, 31.319514989497804, 30.794207389749705, 30.40601092896175, 29.992137526652453, 28.600663669449798, 24.603473534971645, 26.732656196654148, 24.741485584909704, 26.59307500778089, 29.317336089781453, 27.26934888138455, 29.468200179533213, 29.346107793111447, 32.312208382759984, 30.71532925512774, 28.322533050047216, 27.276894160583943]","[33.87773333333333, 30.649653364896853, 32.25341321367195, 31.77240166865316, 31.698255569567042, 31.153260483297796, 29.263706915007493, 25.357283790170133, 27.9062820075111, 25.074325464873265, 27.371183473389355, 29.734393581413666, 27.92615818910933, 30.09032989228007, 29.881305810042907, 33.00551996836694, 32.048641597697014, 29.703977809254013, 27.90315693430657]","[1517, 5932, 5256, 4206, 2383, 2823, 9374, 8487, 2935, 37467, 6492, 25495, 9531, 11177, 17390, 12895, 2807, 2134, 13798]"
AP,"[33.27489672016748, 31.08703142076503, 32.495814296814295, 32.93012095531587, 32.8434917287014, 31.781244192972007, 32.16299287140006, 28.75228011472275, 29.149810177705977, 29.558769851380042, 29.717631578947366, 32.063308092056424, 30.418320181112552, 30.193076419213973, 30.373491714467814, 31.076846921797006, 30.435710497237572, 32.29811866666667, 27.815021390374334]","[32.630818213538035, 29.848155737704918, 31.967599067599068, 32.2753563174114, 32.18190653432588, 30.979050029779632, 31.59870259481038, 27.628011472275336, 28.214438610662356, 28.758800424628447, 28.91868183973447, 31.073255382331105, 29.477959249676584, 29.082860262008733, 29.76731198215424, 30.288810316139767, 29.256961325966852, 30.914566666666666, 24.8177807486631]","[33.88424633635729, 32.31967213114754, 33.0277195027195, 33.567902542372885, 33.474379652605464, 32.535616438356165, 32.78839463929285, 29.85279636711281, 30.12049676898223, 30.316464968152868, 30.48655761024182, 33.1202858203415, 31.294372574385513, 31.38362445414847, 31.002254620777563, 31.8176511369939, 31.64754143646409, 33.647866666666665, 30.551069518716577]","[2888, 737, 3879, 2601, 2430, 1690, 3533, 1050, 1242, 2362, 2119, 1354, 1555, 918, 3159, 1806, 912, 754, 189]"
AM,"[29.243871890809444, 31.173564347430652, 28.2465593654043, 24.739902869757174, 28.369597208374874, 23.297085034013605, 18.379676245210728, 20.548628355127324, 27.76254210898797, 27.27749055395453, 26.695349704482453, 26.47694976721392, 28.11270788113695, 30.071398662551438, 31.381327015979192, 31.124900684931507, 29.851675270108043, 28.653326053042125, 30.27665631330182]","[29.007093170320406, 30.560982264665757, 27.696711873080858, 23.631263796909494, 27.364506480558326, 21.831207482993197, 17.646519795657728, 20.16251548520303, 26.924575371549892, 26.84925152097342, 26.549577209407744, 25.94478681695663, 27.82656815245478, 29.53204732510288, 30.68743961352657, 30.266709474885843, 28.971503601440578, 27.201092043681747, 29.66816340310601]","[29.472975073777402, 31.766325602546612, 28.763894575230296, 25.904166666666665, 29.45099700897308, 24.850595238095238, 19.212915070242655, 20.942243633860976, 28.641188959660298, 27.716814761447324, 26.838512300155166, 27.033484440088213, 28.39093830749354, 30.60838477366255, 32.060367892976586, 31.997802511415525, 30.717932172869148, 29.925195007800312, 30.917294058068872]","[19030, 2205, 3915, 910, 1004, 589, 1566, 7286, 1415, 6286, 57604, 4098, 15569, 3912, 2714, 1776, 1680, 650, 2990]"
BA,"[31.57632371007371, 31.301664682842464, 32.27064605494404, 31.810741743119266, 32.32083614103819, 32.99629426781156, 31.74166360031721, 30.21729623603428, 27.452383050226075, 28.871446937999238, 29.535613504691963, 29.810397392780498, 31.086805311516677, 30.73282892708951, 33.303771751226144, 35.240313566045224, 31.425461410327596, 31.89340306220096, 29.317389233495792]","[31.176646191646192, 31.0782249860115, 32.027669734529645, 31.1077752293578, 31.982615083251716, 32.469233000696214, 31.327359238699444, 29.975086777307734, 27.314271966271537, 28.67540803623915, 29.326975724194206, 29.6184098843727, 30.917933920704844, 30.34941612329579, 33.07368421052632, 35.003948499272774, 30.85409494725153, 31.412555023923446, 29.12639219649978]","[31.967764127764127, 31.541847245536395, 32.50297844787716, 32.5133371559633, 32.673582272282076, 33.58595381759109, 32.168977002379066, 30.481631684564483, 27.584300531589882, 29.080316573878765, 29.758473072215423, 30.014156337080813, 31.26232976714915, 31.096748666271488, 33.52368936240366, 35.460781105381464, 32.045044419766796, 32.36019138755981, 29.506522762516614]","[8172, 19771, 21795, 2201, 10280, 4340, 6350, 18555, 65851, 29075, 24639, 31408, 39996, 8488, 24487, 30997, 3663, 5261, 36332]"
CE,"[33.114687306401656, 33.11333554760688, 32.24311288859869, 32.37213310580204, 29.85050325492232, 28.680236113726227, 28.933199785630766, 26.130141407623327, 25.396378418208613, 28.26889345583494, 27.619736764154815, 29.923185147940437, 30.24861204312794, 31.318693580170088, 30.66187633705003, 33.188754069752946, 31.892525154845156, 31.804907605921382, 31.526854783340887]","[32.921301464894164, 32.84011383637086, 32.03669423586172, 31.837916776056705, 29.61662606334119, 28.474735454716626, 28.72856307652332, 25.95172448321132, 24.94247584738824, 27.99514023210832, 27.471683231919485, 29.781322761554826, 30.026772021330427, 31.048016490354698, 30.521027674536285, 33.00884376636003, 31.662973026973027, 31.306604134762633, 31.248657620312198]","[33.308638519617965, 33.374293135752005, 32.43817698697718, 32.936426883696505, 30.06362374695475, 28.885738090755037, 29.12402721839678, 26.30862352862642, 25.86341493368266, 28.543960885450247, 27.774205492407344, 30.076922742216205, 30.468622280175936, 31.570894264675378, 30.805594234762427, 33.37078129284771, 32.111886113886115, 32.37468734047984, 31.813226245223138]","[31153, 17747, 27755, 3831, 25221, 26721, 31018, 45254, 6140, 18725, 56425, 51971, 25858, 19453, 57713, 40732, 25375, 3952, 15555]"
DF,"[32.7929495412844, 31.457324041811844, 34.737321167883216, 34.60791428571429, 34.39973170731707, 36.84183526011561, 34.628008733624455, 34.51840697674418, 35.79604506437769, 31.685645131938127, 35.54171941896025, 36.09010903873745, 33.580968581192806, 32.78416842197648, 33.95610497114958, 33.58118299291371, 31.194193298969072, 30.380320425208808, 33.148891801269116]","[31.883302752293577, 30.814173718267796, 33.42819343065693, 32.227714285714285, 32.557317073170736, 35.251372832369945, 33.383988355167396, 33.02107558139535, 34.16829399141631, 31.388590867730997, 34.609250764525996, 34.86940459110473, 33.21682559805975, 32.45452211690363, 33.61498002663116, 33.29043525079894, 30.4785530191458, 29.334586180713746, 32.9444269180848]","[33.719564220183486, 32.12715281234445, 36.04420620437956, 37.01171428571429, 36.39067944250871, 38.61697976878612, 35.82270742358078, 35.92078488372093, 37.360783261802574, 31.989068574737367, 36.47907110091743, 37.32173601147776, 33.94015819645023, 33.11700017553098, 34.31290224145584, 33.87734472696957, 31.929611561119295, 31.398671222475325, 33.35868636429189]","[1092, 2011, 549, 175, 287, 347, 689, 520, 468, 12130, 1315, 699, 9150, 11461, 9092, 14507, 2730, 1326, 27966]"
ES,"[32.75264523707818, 32.23591693084419, 32.66922329115689, 33.57499126128751, 32.58201889644747, 34.03430682182129, 34.708311017224574, 32.58778182378583, 31.530840924563165, 32.412199124616386, 31.91259755359475, 30.179698839276373, 32.27211373917539, 32.5413596362404, 33.129870664648756, 33.33158167959348, 32.087212765957446, 31.940266049739733, 34.23184949091032]","[32.261165100384446, 31.993708171891512, 32.47987294781972, 33.06412030294203, 31.925, 33.70178819259101, 34.26518930776731, 32.379011272070805, 31.33531461730476, 32.16290939276551, 31.725140954989968, 29.83007163024156, 32.131731048856146, 32.291534399005876, 32.939529732627065, 33.138690826424174, 31.608118242064876, 31.570474262579527, 34.08825355354683]","[33.23893101238787, 32.47811729482212, 32.847194917912795, 34.12993737256044, 33.239011715797425, 34.38015906907228, 35.15484644133897, 32.810492712782356, 31.740495023827275, 32.659639281581725, 32.113271270665436, 30.52578688696016, 32.40801505751583, 32.784343933574334, 33.32062917770211, 33.52590197913881, 32.562299441925354, 32.32021399652979, 34.37588922678853]","[4694, 17090, 28823, 3450, 2660, 9422, 6200, 22849, 31071, 20044, 31608, 9597, 62276, 17808, 31962, 37758, 5778, 8704, 60084]"
GO,"[31.608777837721192, 29.287499679502982, 30.478763684210527, 31.453250321159846, 31.067463958295885, 31.472388776897475, 31.368785697665402, 32.05715730687633, 32.62218372850143, 33.89575521666052, 32.822700697236506, 31.60546785476349, 33.03682876787198, 33.26672764227642, 34.08165978018187, 33.16159615105302, 32.94706223752916, 33.91793398612008, 34.06343878621355]","[31.275566465256798, 29.060675016024852, 30.136286184210526, 31.049527436226832, 30.795317274851698, 31.261051990061414, 31.08516443031102, 31.866479470859854, 32.42647489230162, 33.77317570614521, 32.58902488676269, 31.375730068842994, 32.923055397665166, 33.145700031675645, 33.969747458293014, 33.038892822561124, 32.782798577935786, 33.78271297519036, 33.952265406715]","[31.9152702848511, 29.5029128248114, 30.83373684210526, 31.868636447054506, 31.32111121097729, 31.699709343209413, 31.6787694873187, 32.24426868838138, 32.82319050281167, 34.024349881796695, 33.05654995165148, 31.86173800799467, 33.14955566000612, 33.39887419491078, 34.19083380446344, 33.284144880174296, 33.11651483168537, 34.047908179034025, 34.16677496310186]","[9286, 20319, 7612, 5457, 16733, 21415, 12954, 32217, 30550, 73783, 19766, 18102, 92131, 76351, 105348, 83256, 45375, 71867, 108952]"
MA,"[31.625798692117357, 31.688225009956195, 30.473221630868654, 32.321685647425895, 31.307714211348255, 28.04112496384148, 26.4803884815829, 26.12810046163992, 27.116830694275276, 23.349621082009442, 25.92274264890676, 27.39823112659698, 24.50526923076923, 25.478183177570095, 30.791603155818542, 31.1151729944648, 29.656716257947323, 29.16078078078078, 25.146353528153956]","[31.146102863202543, 31.270868180007966, 29.98079737692454, 31.40696177847114, 30.736914367516917, 27.396789123517504, 26.1501369137002, 25.62466476148604, 26.288017661388547, 22.819112279948477, 25.553270294043728, 26.796747967479675, 23.82339068825911, 24.528971962616822, 30.272297830374754, 30.78394987136509, 29.166303360581292, 28.310315315315314, 24.585376574008077]","[32.146032166843405, 32.074488915438735, 30.98504086675537, 33.25551872074883, 31.851177771993754, 28.67401648828464, 26.84549288932073, 26.641959771378325, 27.977573081607797, 23.89400493774152, 26.36007790902237, 27.985598141695704, 25.20324898785425, 26.379392523364483, 31.29742603550296, 31.424360723473924, 30.15604450499546, 30.046876876876876, 25.672249940603468]","[5713, 7581, 5308, 1292, 3876, 3474, 11402, 4567, 1655, 4684, 7992, 3471, 2477, 1616, 5126, 13018, 5594, 1683, 4227]"
