,age_mean,age_lo,age_hi,cases
AC,"[34.69506349206349, 30.0091875, 33.962428571428575, 30.691357664233575, 30.36335238095238, 24.788266666666665, 24.51246, 26.732225165562916, 32.19068672839506, 33.95373761713521, 32.3706875, 33.54838139534884, 30.380025210084035, 34.427139968895794, 32.86136390532545, 29.486495238095237, 26.5993417721519, 32.25175480769231, 36.257423780487805]","[32.396560846560845, 25.0625, 29.90357142857143, 27.86806569343066, 26.856666666666666, 21.0825, 19.599500000000003, 23.90728476821192, 30.766898148148147, 32.67587014725569, 30.528459821428573, 31.037093023255814, 27.88151260504202, 32.870917573872475, 31.03217455621302, 25.626190476190477, 23.126582278481013, 29.835817307692306, 34.34740853658536]","[36.99470899470899, 34.81328125, 38.192460317460316, 33.53302919708029, 33.78357142857142, 28.9, 29.72, 29.629801324503312, 33.679783950617285, 35.267838018741635, 34.32053571428572, 36.00558139534884, 32.81995798319328, 35.95672628304821, 34.877440828402364, 33.44880952380952, 30.32974683544304, 34.784014423076925, 38.38719512195122]","[192, 32, 65, 139, 107, 61, 50, 153, 658, 774, 460, 220, 241, 667, 346, 106, 81, 215, 334]"
AL,"[35.035947368421056, 31.784327370304116, 32.337489445910286, 31.302264270613108, 33.11534082397004, 31.204493902439022, 25.185220858895708, 23.553059755219582, 26.830887399463805, 24.433114867195584, 25.037228603603605, 28.264162569389374, 26.861957952468007, 28.287846726190473, 29.991700652528547, 31.32208085106383, 20.195375, 24.0404125, 22.67184222059898]","[29.75438596491228, 30.380992844364936, 31.104188654353564, 29.640380549682874, 31.010955056179775, 28.22469512195122, 23.877070552147238, 22.503113750899928, 24.986461126005363, 23.826535012073126, 23.868243243243242, 27.29704599524187, 25.301325411334552, 26.89095982142857, 28.65980831973899, 29.353936170212766, 16.85609375, 20.9309375, 21.566672753834915]","[40.10570175438597, 33.20044722719142, 33.587203166226914, 32.856553911205076, 35.046067415730334, 33.86737804878049, 26.554256134969325, 24.48983081353492, 28.879490616621982, 25.09905139703346, 26.268158783783786, 29.3300753370341, 28.325457038391228, 29.628125, 31.314212887438824, 33.23028368794326, 23.55078125, 27.30046875, 23.767129291453614]","[60, 572, 774, 485, 271, 164, 656, 1405, 383, 2916, 902, 1280, 553, 680, 1279, 753, 168, 165, 1391]"
AP,"[32.44009302325581, 34.352, 32.694172413793105, 30.9205, 32.38255056179775, 33.571384615384616, 34.363740659340664, 32.44101123595506, 32.205455782312924, 31.73362222222222, 30.296126923076926, 33.824898203592824, 35.43688888888889, 28.79805737704918, 33.03394174757282, 33.44414285714286, 26.327297297297296, 25.792113636363634, 24.0752]","[25.673837209302324, 26.864705882352943, 29.218103448275862, 28.1328125, 28.494101123595506, 28.51826923076923, 32.564835164835166, 29.6625, 29.020068027210883, 29.35088888888889, 27.95375, 30.892065868263476, 31.221944444444443, 25.604508196721312, 30.383495145631066, 27.213392857142857, 19.809459459459458, 20.40852272727273, 15.948749999999999]","[38.907558139534885, 42.11764705882353, 36.41436781609195, 33.8126953125, 36.483988764044945, 38.808173076923076, 36.127527472527476, 35.20786516853933, 35.24523809523809, 34.32022222222222, 32.62307692307692, 36.8684131736527, 39.966944444444444, 32.35245901639344, 35.67014563106796, 39.35758928571428, 32.91959459459459, 31.56988636363636, 33.00125]","[43, 17, 89, 134, 91, 55, 470, 183, 151, 228, 260, 170, 95, 125, 211, 57, 39, 44, 20]"
AM,"[27.25662393162393, 22.441142857142854, 19.16260073260073, 16.628149122807017, 16.837837837837835, 16.703233333333337, 11.613611439842211, 16.585194792671164, 17.998923076923077, 17.487691214470285, 20.628893133462284, 15.780298755186722, 20.119667326732674, 27.14923557692308, 27.4434984423676, 24.27708846153846, 27.03469827586207, 18.106819672131145, 28.108660606060607]","[23.85405982905983, 16.712500000000002, 17.40650183150183, 14.077631578947368, 14.418581081081081, 13.04875, 10.607495069033531, 15.643105110896817, 16.064903846153847, 16.314857881136952, 19.90272001934236, 13.916908713692946, 18.640643564356438, 24.27355769230769, 25.18014018691589, 22.049903846153846, 23.474137931034484, 13.981147540983606, 24.975151515151516]","[30.89017094017094, 28.679464285714282, 21.018406593406592, 19.53574561403509, 19.52043918918919, 20.500416666666666, 12.720118343195265, 17.466730954676954, 20.03471153846154, 18.647674418604648, 21.379678433268857, 17.572821576763488, 21.635841584158417, 30.049278846153847, 29.70233644859813, 26.611826923076922, 31.04375, 22.64016393442623, 31.315151515151516]","[119, 28, 273, 115, 149, 60, 507, 1044, 261, 777, 2082, 243, 507, 211, 324, 272, 118, 62, 171]"
BA,"[35.08162343096234, 32.316600285902794, 33.889456682890305, 32.942333979171714, 33.53435806451613, 32.20323113207547, 32.25008608695652, 28.118445220830587, 26.41827801124593, 27.74789876651982, 28.99202864013992, 28.435489341271364, 30.722951828143646, 30.148613429557575, 33.2415407567293, 34.320634371668845, 30.93673442808607, 31.327037037037037, 26.82292875125881]","[34.43120958539369, 31.95050857708379, 33.56755709472108, 32.40055703560184, 33.048978494623654, 31.49953737300435, 31.605275362318842, 27.706318391562295, 26.13032110091743, 27.41328193832599, 28.591142872759075, 28.081990589590934, 30.321506455462732, 29.50075305930342, 32.796419502285424, 33.85001184413123, 29.948329558323895, 30.035921177587845, 26.221651560926485]","[35.73547926968429, 32.68936386628546, 34.19380756271059, 33.4856502785178, 34.04324193548388, 32.90458091436865, 32.84377536231884, 28.546156888595913, 26.701287363125186, 28.11837885462555, 29.36934302579799, 28.778058382946032, 31.12774764023001, 30.813680577345465, 33.66836274758761, 34.76291898614237, 31.88905719139298, 32.663224121557455, 27.402467270896274]","[2696, 9289, 13649, 4228, 4740, 2814, 3534, 7696, 17154, 11508, 9305, 10565, 9414, 3239, 8183, 8875, 1834, 1091, 4046]"
CE,"[36.64828423390081, 35.24394069449864, 32.3952573025604, 34.15895549904641, 30.9909663619744, 30.340905441354295, 29.115341316389706, 24.732311977077362, 27.02860724637681, 26.859760935009742, 26.474996202968583, 24.10217000253357, 28.099261783248274, 28.274161710037173, 28.08618150252525, 27.25282727852135, 25.28807407407407, 21.69521187800963, 26.691618623962043]","[35.653941524796444, 34.486110027311746, 31.89585286693112, 33.21862682771774, 30.50670475319927, 29.741795646916568, 28.619529977191267, 24.32831518624642, 26.176135265700484, 26.34440410837613, 26.032294902772986, 23.55631492272612, 27.400435304713298, 27.617433395291204, 27.608609532828286, 26.481118546845124, 24.182262731481483, 20.193940609951845, 25.70188315539739]","[37.699500370096224, 35.98634412797503, 32.89936440677966, 35.07007310870947, 31.472431444241316, 30.936221281741233, 29.612573313782992, 25.147719197707737, 27.929033816425118, 27.37192757216221, 26.889960879070305, 24.658778819356474, 28.7827304112879, 28.944764560099134, 28.574928977272727, 28.06445984703633, 26.408029513888888, 23.176565008025683, 27.678543890865953]","[1388, 2625, 5682, 1615, 5576, 4236, 6279, 8875, 2112, 5734, 8874, 4021, 3433, 3313, 6497, 3291, 1820, 632, 1732]"
DF,"[31.74174074074074, 35.25928318584071, 31.69569306930693, 27.66432, 32.69572602739726, 32.89646067415731, 35.49813043478262, 32.633406779661016, 30.35416541353383, 31.561629411764706, 30.225863777089785, 29.434435064935062, 31.36305138339921, 32.067381818181815, 29.383379104477612, 26.738457746478876, 29.967523809523808, 30.115075949367093, 32.652680000000004]","[25.887962962962963, 32.71592920353982, 28.752475247524753, 24.1185, 29.79417808219178, 29.764044943820224, 33.2463768115942, 30.412146892655368, 27.706766917293233, 29.99702205882353, 28.24442724458204, 26.662337662337663, 29.732608695652175, 30.181493506493506, 27.07141791044776, 25.034991197183096, 26.84642857142857, 25.530696202531644, 31.37651219512195]","[37.33425925925926, 37.86814159292035, 34.53490099009901, 31.540999999999997, 35.68561643835616, 36.11516853932584, 37.732246376811595, 34.83093220338983, 32.940601503759396, 32.98106617647059, 32.26083591331269, 32.351136363636364, 33.176877470355734, 34.169155844155846, 31.66044776119403, 28.432438380281692, 33.09595238095238, 34.851265822784804, 34.04992682926829]","[27, 114, 101, 50, 73, 89, 138, 179, 133, 685, 329, 155, 514, 399, 341, 572, 215, 79, 1058]"
ES,"[32.071174603174605, 33.07105152224824, 34.93957606263982, 33.01706007067138, 31.836955555555555, 32.343703259005146, 31.820472839506174, 32.08908273972603, 31.60543948472139, 32.26846819338422, 32.38015781710914, 29.952571701720846, 30.419611488573196, 31.035073113207545, 32.492647302904565, 33.861878140032076, 34.0669064171123, 32.34071592539455, 33.60202913453299]","[28.285714285714285, 31.608313817330213, 33.74029642058166, 31.12367491166078, 29.807222222222222, 30.90819039451115, 30.759074074074075, 31.326506849315066, 30.93806171360096, 31.39704834605598, 31.718561946902653, 28.87468929254302, 29.45259419394688, 29.760524764150944, 31.634932572614108, 32.96675574559059, 32.64822860962567, 30.702654232424678, 32.72283633247643]","[36.04960317460318, 34.64414519906323, 36.023573825503355, 34.810335689045935, 33.92601851851852, 33.7721269296741, 32.96922839506173, 32.93234246575342, 32.27254343918514, 33.108524173027995, 32.991519174041294, 31.06422084130019, 31.35705682520074, 32.339711084905666, 33.41579356846473, 34.845617316942814, 35.51945187165775, 33.90986370157819, 34.44918594687232]","[64, 431, 906, 285, 271, 585, 813, 1852, 3402, 1999, 3452, 1057, 1641, 867, 1970, 1938, 770, 723, 2401]"
GO,"[29.79821893491124, 29.306152631578946, 30.15260775862069, 28.59449861495845, 31.11072187004754, 31.587024752475248, 31.723171892708724, 32.82897354190808, 34.18090952955368, 35.841934203709464, 33.67151380670612, 33.43429787234043, 36.319586058519796, 36.761217503884, 37.73250698024055, 36.412344114786, 39.590189696969695, 39.18530944162437, 39.93538702314965]","[27.401331360946745, 28.289447368421055, 28.816810344827587, 27.038019390581717, 30.215372424722663, 30.98329207920792, 31.0634019644881, 32.3280899961375, 33.53884951749095, 35.45712879494353, 33.00224358974359, 32.60775475923852, 35.837987664945494, 36.23519333678578, 37.31725461769759, 35.750717412451365, 38.90687121212121, 38.61776649746193, 39.43981089012063]","[31.940828402366865, 30.3275, 31.525969827586206, 30.11101108033241, 32.0446117274168, 32.15163985148515, 32.35793350963355, 33.34357860177675, 34.8040787092883, 36.23239301626774, 34.353558514135436, 34.33432250839866, 36.78359868043603, 37.27066718453306, 38.14245328608247, 37.017625243190665, 40.24040909090909, 39.76319796954315, 40.47415634170199]","[170, 955, 465, 362, 1274, 3263, 2674, 5244, 3370, 9860, 3108, 1822, 7148, 5964, 9605, 4253, 3397, 5094, 6357]"
MA,"[34.171355319854165, 33.52228195488722, 32.91928090856814, 33.24612822014052, 32.76440933098591, 30.043232101616628, 25.80715619495009, 26.044223697311647, 28.3853156462585, 26.511953691092344, 28.708854451166808, 30.1755947973987, 29.146311516452077, 29.682528752800597, 32.031382834850454, 32.47737464617873, 33.00870042392841, 32.62906214689266, 26.96869532044761]","[33.50310739144845, 32.9359335839599, 32.32601351351351, 32.363451405152226, 32.13025968309859, 29.376058506543494, 25.24067332158935, 25.356272817789577, 27.66844671201814, 25.89669708526287, 28.19113223854797, 29.605246373186592, 28.41573676680973, 29.01362957430919, 31.36772431729519, 31.893979983825314, 32.15770136599152, 31.0258945386064, 26.0507502543235]","[34.80170699370235, 34.079498746867166, 33.541288096607246, 34.11087529274005, 33.43544600938967, 30.73657621247113, 26.333421413192404, 26.72112512446067, 29.134841269841267, 27.126198583492236, 29.192251512532412, 30.752920210105053, 29.842140557939913, 30.361463778939505, 32.69102730819246, 33.08663061059442, 33.945843146490816, 34.26581920903955, 27.839852492370294]","[3072, 4046, 3526, 1731, 3459, 2630, 5177, 3048, 2231, 3717, 5894, 4063, 2867, 2731, 3958, 5127, 2209, 546, 2015]"
